source,url,local_file,bytes,downloaded_or_checked
gfs_annual,https://www.abs.gov.au/statistics/economy/government/government-finance-statistics-annual/2024-25/55120DO021_202425.xlsx,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/abs_gfs_annual_2024_25.xlsx,66715,2026-08-25 21:03:49 AEST
population_projection,https://population.gov.au/sites/population.gov.au/files/2026-01/2025-population-statement-age-sex-structure.xlsx,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/population_statement_2025_age_sex.xlsx,2741152,2026-08-25 21:03:49 AEST
pbo_nfo,https://www.pbo.gov.au/sites/default/files/2026-08/PBO%202026-27%20National%20Fiscal%20Outlook%20-%20Data.xlsx,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/pbo_national_fiscal_outlook_2026_27.xlsx,198221,2026-08-25 21:03:49 AEST
budget_nominal_gdp,https://budget.gov.au/content/bp1/download/bp1_s2-data-nominal-GDP.xlsx,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/budget_2026_27_nominal_gdp.xlsx,10998,2026-08-25 21:03:49 AEST
budget_receipts_cash,https://budget.gov.au/content/bp1/download/bp1_s5-online_t1.csv,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/budget_2026_27_cash_receipts.csv,4951,2026-08-25 21:03:49 AEST
budget_receipts_gdp,https://budget.gov.au/content/bp1/download/bp1_s5-online_t2.csv,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/budget_2026_27_receipts_gdp.csv,4433,2026-08-25 21:03:49 AEST
labour_force_table1,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/may-2026/62020001.xlsx,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/abs_labour_force_may_2026_table1.xlsx,768857,2026-08-25 21:03:49 AEST
abs_5206,ABS Australian National Accounts 5206.0,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/abs_52060.rds,4803374,2026-08-25 21:03:49 AEST
abs_3101_table59,"ABS National, state and territory population 3101.0 Table 59",C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/abs_31010.rds,92079,2026-08-25 21:03:49 AEST
abs_5302_table5,ABS Balance of Payments 5302.0 Table 5,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/abs_53020.rds,40276,2026-08-25 21:03:49 AEST
abs_wpi_public_industry,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,C:/Users/OEM/Documents/GitHub/TVHENZ/e61 Projects/Fiscal sustainability/OECD comparison/projections/2026 projections/data/raw/abs_wpi_public_industry.rds,13390,2026-08-25 21:04:26 AEST
