"","date","value","type","trend"
"1",2001-03-01,73.9,"CPI",73.9
"2",2001-06-01,74.5,"CPI",74.4383028253523
"3",2001-09-01,74.7,"CPI",74.9805267593891
"4",2001-12-01,75.4,"CPI",75.5207423600167
"5",2002-03-01,76.1,"CPI",76.0588496197035
"6",2002-06-01,76.6,"CPI",76.6128779504658
"7",2002-09-01,77.1,"CPI",77.1709419377339
"8",2002-12-01,77.6,"CPI",77.7269389219064
"9",2003-03-01,78.6,"CPI",78.2807659739198
"10",2003-06-01,78.6,"CPI",78.8509792011797
"11",2003-09-01,79.1,"CPI",79.425345979066
"12",2003-12-01,79.5,"CPI",79.9975853702457
"13",2004-03-01,80.2,"CPI",80.5739476005114
"14",2004-06-01,80.6,"CPI",81.1608648351954
"15",2004-09-01,80.9,"CPI",81.7520572959372
"16",2004-12-01,81.5,"CPI",82.3410600496306
"17",2005-03-01,82.1,"CPI",82.9277640570117
"18",2005-06-01,82.6,"CPI",83.5318269757132
"19",2005-09-01,83.4,"CPI",84.1402900131675
"20",2005-12-01,83.8,"CPI",84.7464993753969
"21",2006-03-01,84.5,"CPI",85.3503428377606
"22",2006-06-01,85.9,"CPI",85.9720523194163
"23",2006-09-01,86.7,"CPI",86.598290461025
"24",2006-12-01,86.6,"CPI",87.2222090905225
"25",2007-03-01,86.6,"CPI",87.843692704836
"26",2007-06-01,87.7,"CPI",88.4835642606194
"27",2007-09-01,88.3,"CPI",89.1280967726456
"28",2007-12-01,89.1,"CPI",89.7702420123733
"29",2008-03-01,90.3,"CPI",90.4170137450235
"30",2008-06-01,91.6,"CPI",91.0756299014358
"31",2008-09-01,92.7,"CPI",91.7390435536237
"32",2008-12-01,92.4,"CPI",92.4
"33",2009-03-01,92.5,"CPI",93.058376880858
"34",2009-06-01,92.9,"CPI",93.7362332705423
"35",2009-09-01,93.8,"CPI",94.4190273058254
"36",2009-12-01,94.3,"CPI",95.099292352647
"37",2010-03-01,95.2,"CPI",95.7769024767913
"38",2010-06-01,95.8,"CPI",96.4745611670045
"39",2010-09-01,96.5,"CPI",97.1773017468532
"40",2010-12-01,96.9,"CPI",97.8774394585954
"41",2011-03-01,98.3,"CPI",98.5748446890836
"42",2011-06-01,99.2,"CPI",99.2928841668211
"43",2011-09-01,99.8,"CPI",100.01615399205
"44",2011-12-01,99.8,"CPI",100.736744911271
"45",2012-03-01,99.9,"CPI",101.462527504559
"46",2012-06-01,100.4,"CPI",102.201601458863
"47",2012-09-01,101.8,"CPI",102.946058980119
"48",2012-12-01,102,"CPI",103.687759118645
"49",2013-03-01,102.4,"CPI",104.42656456704
"50",2013-06-01,102.8,"CPI",105.187229177978
"51",2013-09-01,104,"CPI",105.953434626658
"52",2013-12-01,104.8,"CPI",106.716802140854
"53",2014-03-01,105.4,"CPI",107.477190401986
"54",2014-06-01,105.9,"CPI",108.260076400015
"55",2014-09-01,106.4,"CPI",109.048665100948
"56",2014-12-01,106.6,"CPI",109.834332962474
"57",2015-03-01,106.8,"CPI",110.616934537658
"58",2015-06-01,107.5,"CPI",111.422691078841
"59",2015-09-01,108,"CPI",112.234316916677
"60",2015-12-01,108.4,"CPI",113.042936588272
"61",2016-03-01,108.2,"CPI",113.857382158675
"62",2016-06-01,108.6,"CPI",114.686742787948
"63",2016-09-01,109.4,"CPI",115.522144650914
"64",2016-12-01,110,"CPI",116.35445228405
"65",2017-03-01,110.5,"CPI",117.183511606222
"66",2017-06-01,110.7,"CPI",118.037100447661
"67",2017-09-01,111.4,"CPI",118.896907006083
"68",2017-12-01,112.1,"CPI",119.753528942565
"69",2018-03-01,112.6,"CPI",120.606807674783
"70",2018-06-01,113,"CPI",121.485332510074
